ID,Function,Function Description,Category,Category Description,Subcategory ID,Subcategory Description,Implementation Example,In Scope? ,Owner,Stakeholders,Auditor,Control Implementation Description,Test Procedure(s),Observations,Current State Score,Desired State Score,Testing Status
GV.SC-02 Ex7,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-02,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally",Ex7: Internally communicate cybersecurity supply chain risk management roles and responsibilities for third parties,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-02 Ex8,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-02,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally",Ex8: Establish rules and protocols for information sharing and reporting processes between the organization and its suppliers,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-03 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-03,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",Ex1: Identify areas of alignment and overlap with cybersecurity and enterprise risk management,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-03 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-03,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",Ex2: Establish integrated control sets for cybersecurity risk management and cybersecurity supply chain risk management,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-03 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-03,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",Ex3: Integrate cybersecurity supply chain risk management into improvement processes,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-03 Ex4,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-03,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes","Ex4: Escalate material cybersecurity risks in supply chains to senior management, and address them at the enterprise risk management level",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-04 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-04,Suppliers are known and prioritized by criticality,"Ex1: Develop criteria for supplier criticality based on, for example, the sensitivity of data processed or possessed by suppliers, the degree of access to the organization's systems, and the importance of the products or services to the organization's mission",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-04 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-04,Suppliers are known and prioritized by criticality,"Ex2: Keep a record of all suppliers, and prioritize suppliers based on the criticality criteria",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-05 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties","Ex1: Establish security requirements for suppliers, products, and services commensurate with their criticality level and potential impact if compromised",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-05 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",Ex2: Include all cybersecurity and supply chain requirements that third parties must follow and how compliance with the requirements may be verified in default contractual language,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-05 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",Ex3: Define the rules and protocols for information sharing between the organization and its suppliers and sub-tier suppliers in agreements,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-05 Ex4,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",Ex4: Manage risk by including security requirements in agreements based on their criticality and potential impact if compromised,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-05 Ex5,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",Ex5: Define security requirements in service-level agreements (SLAs) for monitoring suppliers for acceptable security performance throughout the supplier relationship lifecycle,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-05 Ex6,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties","Ex6: Contractually require suppliers to disclose cybersecurity features, functions, and vulnerabilities of their products and services for the life of the product or the term of service",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-05 Ex7,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties","Ex7: Contractually require suppliers to provide and maintain a current component inventory (e.g., software or hardware bill of materials) for critical products",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-05 Ex8,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",Ex8: Contractually require suppliers to vet their employees and guard against insider threats,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-05 Ex9,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties","Ex9: Contractually require suppliers to provide evidence of performing acceptable security practices through, for example, self-attestation, conformance to known standards, certifications, or inspections",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-05 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties","Ex10: Specify in contracts and other agreements the rights and responsibilities of the organization, its suppliers, and their supply chains, with respect to potential cybersecurity risks",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-06 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-06,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,"Ex1: Perform thorough due diligence on prospective suppliers that is consistent with procurement planning and commensurate with the level of risk, criticality, and complexity of each supplier relationship",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-06 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-06,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,Ex2: Assess the suitability of the technology and cybersecurity capabilities and the risk management practices of prospective suppliers,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-06 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-06,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,Ex3: Conduct supplier risk assessments against business and applicable cybersecurity requirements,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-06 Ex4,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-06,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,"Ex4: Assess the authenticity, integrity, and security of critical products prior to acquisition and use",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-07 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",Ex1: Adjust assessment formats and frequencies based on the third party's reputation and the criticality of the products or services they provide,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-07 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship","Ex2: Evaluate third parties' evidence of compliance with contractual cybersecurity requirements, such as self-attestations, warranties, certifications, and other artifacts",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-07 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship","Ex3: Monitor critical suppliers to ensure that they are fulfilling their security obligations throughout the supplier relationship lifecycle using a variety of methods and techniques, such as inspections, audits, tests, or other forms of evaluation",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-07 Ex4,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship","Ex4: Monitor critical suppliers, services, and products for changes to their risk profiles, and reevaluate supplier criticality and risk impact accordingly",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-07 Ex5,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",Ex5: Plan for unexpected supplier and supply chain-related interruptions to ensure business continuity,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-08 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-08,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",Ex1: Define and use rules and protocols for reporting incident response and recovery activities and the status between the organization and its suppliers,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-08 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-08,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",Ex2: Identify and document the roles and responsibilities of the organization and its suppliers for incident response,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-08 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-08,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",Ex3: Include critical suppliers in incident response exercises and simulations,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-08 Ex4,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-08,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",Ex4: Define and coordinate crisis communication methods and protocols between the organization and its critical suppliers,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-08 Ex5,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-08,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",Ex5: Conduct collaborative lessons learned sessions with critical suppliers,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-09 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-09,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",Ex1: Policies and procedures require provenance records for all acquired technology products and services,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-09 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-09,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",Ex2: Periodically provide risk reporting to leaders about how acquired components are proven to be untampered and authentic,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-09 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-09,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle","Ex3: Communicate regularly among cybersecurity risk managers and operations personnel about the need to acquire software patches, updates, and upgrades only from authenticated and trustworthy software providers",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-09 Ex4,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-09,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",Ex4: Review policies to ensure that they require approved supplier personnel to perform maintenance on supplier products,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-09 Ex5,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-09,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",Ex5: Policies and procedure require checking upgrades to critical hardware for unauthorized changes,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-10 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-10,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Ex1: Establish processes for terminating critical relationships under both normal and adverse circumstances,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-10 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-10,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Ex2: Define and implement plans for component end-of-life maintenance support and obsolescence,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-10 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-10,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Ex3: Verify that supplier access to organization resources is deactivated promptly when it is no longer needed,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-10 Ex4,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-10,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,"Ex4: Verify that assets containing the organization's data are returned or properly disposed of in a timely, controlled, and safe manner",Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-10 Ex5,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-10,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Ex5: Develop and execute a plan for terminating or transitioning supplier relationships that takes supply chain security risk and resiliency into account,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-10 Ex6,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-10,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Ex6: Mitigate risks to data and systems created by supplier termination,Yes,Gerry,"Jason, James",Steve,,,,,,
GV.SC-10 Ex7,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Cybersecurity Supply Chain Risk Management (GV.SC),"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV.SC-10,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Ex7: Manage data leakage risks associated with supplier termination,Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-01 Ex1,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-01,Inventories of hardware managed by the organization are maintained,"Ex1: Maintain inventories for all types of hardware, including IT, IoT, OT, and mobile devices",Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-01 Ex2,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-01,Inventories of hardware managed by the organization are maintained,Ex2: Constantly monitor networks to detect new hardware and automatically update inventories,Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-02 Ex1,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-02,"Inventories of software, services, and systems managed by the organization are maintained","Ex1: Maintain inventories for all types of software and services, including commercial-off-the-shelf, open-source, custom applications, API services, and cloud-based applications and services",Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-02 Ex2,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-02,"Inventories of software, services, and systems managed by the organization are maintained","Ex2: Constantly monitor all platforms, including containers and virtual machines, for software and service inventory changes",Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-02 Ex3,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-02,"Inventories of software, services, and systems managed by the organization are maintained",Ex3: Maintain an inventory of the organization's systems,Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-03 Ex1,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-03,Representations of the organization's authorized network communication and internal and external network data flows are maintained,Ex1: Maintain baselines of communication and data flows within the organization's wired and wireless networks,Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-03 Ex2,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-03,Representations of the organization's authorized network communication and internal and external network data flows are maintained,Ex2: Maintain baselines of communication and data flows between the organization and third parties,Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-03 Ex3,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-03,Representations of the organization's authorized network communication and internal and external network data flows are maintained,Ex3: Maintain baselines of communication and data flows for the organization's infrastructure-as-a-service (IaaS) usage,Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-03 Ex4,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-03,Representations of the organization's authorized network communication and internal and external network data flows are maintained,"Ex4: Maintain documentation of expected network ports, protocols, and services that are typically used among authorized systems",Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-04 Ex1,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-04,Inventories of services provided by suppliers are maintained,"Ex1: Inventory all external services used by the organization, including third-party infrastructure-as-a-service (IaaS), platform-as-a-service (PaaS), and software-as-a-service (SaaS) offerings; APIs; and other externally hosted application services",Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-04 Ex2,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-04,Inventories of services provided by suppliers are maintained,Ex2: Update the inventory when a new external service is going to be utilized to ensure adequate cybersecurity risk management monitoring of the organization's use of that service,Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-05 Ex1,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-05,"Assets are prioritized based on classification, criticality, resources, and impact on the mission",Ex1: Define criteria for prioritizing each class of assets,Yes,Gerry,"Jason, James",Steve,,,,,,
ID.AM-05 Ex2,IDENTIFY (ID),The organization's current cybersecurity risks are understood,Asset Management (ID.AM),"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-05,"Assets are prioritized based on classification, criticality, resources, and impact on the mission",Ex2: Apply the prioritization criteria to assets,Yes,Gerry,"Jason, James",Steve,,,,,,
